Gemeente,Evolutie 2018 - 2019,Mediaanprijs 2018,Mediaanprijs 2019,Mediaanprijs 2020,Evolutie Juli 2020 - December 2019,publicatiekolom
Grez-Doiceau,0,320,320,313.5,-2,-2
Grimbergen,10,300,330,360,9,9
Grobbendonk,7,280,300,255,-15,-15
Haacht,13,275,310,341.5,10,10
Haaltert,4,240,249.5,245,-2,-2
Habay,18,200,235,235,0,0
Halen,-7,235,219,249,14,14
Halle,0,260,260,270,4,4
Ham,3,203,210,null,null,0
Hamme,23,200,245,231.75,-5,-5
Hamoir,1,177.5,180,null,null,0
Hamois,15,217.5,250,230.25,-8,-8
Hamont-Achel,0,245,245,250,2,2
Ham-sur-Heure-Nalinnes,-7,210,195,215,10,10
Hannut,6,217.5,230,242.5,5,5
Harelbeke,-1,212,210,215,2,2
Hasselt,2,260,266,257,-3,-3
Hastière,-7,90,84,85,1,1
Havelange,6,166,176.25,220,25,25
Hechtel-Eksel,10,210,231,225,-3,-3
Heers,24,159,197,null,null,0
Heist-op-den-Berg,4,251,260,302,16,16
Hélécine,-3,200,195,null,null,0
Hemiksem,14,215,245,250,2,2
Hensies,-2,135,132,null,null,0
Herbeumont,10,145,160,null,null,0
Herent,3,327.25,337,341.25,1,1
Herentals,2,250,255,260,2,2
Herenthout,5,250,263.5,225,-15,-15
Herk-de-Stad,7,245,262.5,null,null,0
Herne,20,229.5,275,null,null,0
Héron,0,220,220,null,null,0
Herselt,8,230,249,197,-21,-21
Herstal,8,139,150,158.8,6,6
Herstappe,null,null,null,null,null,-50
Herve,-1,235,232.5,240,3,3
Herzele,0,250,250,275,10,10
Heusden-Zolder,-6,239.5,224,221,-1,-1
Heuvelland,-14,232.5,200,233,17,17
Hoegaarden,-5,280,265,240,-9,-9
Huy,4,159,165,160,-3,-3
Hoeilaart,-5,400,382,360,-6,-6
Hoeselt,12,204.5,230,275,20,20
Holsbeek,6,330,349,349,0,0
Honnelles,19,132,157.5,140,-11,-11
Hooglede,-16,252.5,211.85,295,39,39
Hoogstraten,-3,340,330,392.5,19,19
Horebeke,null,null,null,null,null,-50
Hotton,-9,165,150,null,null,0
Houffalize,-1,170,169,170,1,1
Houthalen-Helchteren,-6,262.5,245.5,279,14,14
Houthulst,9,230,250,227.5,-9,-9
Houyet,-3,150,145,null,null,0
Hove,8,391.957,425,369.438,-13,-13
Huldenberg,-1,332,330,350,6,6
Hulshout,7,250,267,null,null,0
Ichtegem,-3,238,230,254.5,11,11
Ieper,4,220,227.75,228.5,0,0
Incourt,-3,294.5,285,300,5,5
Ingelmunster,1,237.5,239.245,236.78,-1,-1
Ittre,25,237.5,298,289.345,-3,-3
Izegem,0,206.5,207.5,201.5,-3,-3
Jabbeke,3,300,309.3,350,13,13
Jalhay,16,220,255,267.5,5,5
Jemeppe-sur-Sambre,4,170,177,185,5,5
Jette,10,292.5,322,325,1,1
Juprelle,5,205,215.5,176,-18,-18
Jurbise,10,208.75,230,null,null,0
Kalmthout,9,322.5,350,370,6,6
Kampenhout,-1,336.705,334,334.5,0,0
Kapellen,0,305,306,345,13,13
Kapelle-op-den-Bos,11,280,310,320,3,3
Kaprijke,5,250,262.5,309,18,18
Braine-le-Château,5,295,310,311,0,0
Kasterlee,5,262.5,275,320,16,16
Keerbergen,3,360,370,375,1,1
Kelmis,null,165,null,205,0,-50
Kinrooi,-2,220,215,239,11,11
Kluisbergen,16,215,249,null,null,0
Knokke-Heist,12,390,435,500,15,15
Koekelare,-11,277.5,248,201,-19,-19
Koekelberg,5,289.75,304,null,null,0
Koksijde,15,275,315,315,0,0
Comines-Warneton,18,135,159,149.9,-6,-6
Kontich,-4,315,303.303,334,10,10
Kortemark,19,200,237.5,270,14,14
Kortenaken,-6,245,231,239,3,3
Kortenberg,0,345,344.5,388,13,13
Kortessem,0,220,220,null,null,0
Kortrijk,0,218,218,215,-1,-1
Kraainem,-7,463,430,575,34,34
Kruibeke,3,242.5,250,271,8,8
Kruisem,-4,285,275,271,-1,-1
Kuurne,11,220,243.567,230,-6,-6
La Bruyère,8,230,247.5,250,1,1
La Louvière,4,135,140,150,7,7
La Roche-en-Ardenne,-3,155,150,150,0,0
Laakdal,11,225,250,232.5,-7,-7
Laarne,4,305,317.5,null,null,-50
Lanaken,8,242.5,260.75,250,-4,-4
Landen,11,196.25,217.125,210,-3,-3
Langemark-Poelkapelle,14,215,245,262.815,7,7
Lasne,2,490,500,592.5,19,19
Le Roeulx,-1,159,156.75,147.5,-6,-6
Lebbeke,9,210,229,280,22,22
Lede,-1,240,237,235,-1,-1
Ledegem,-1,207.5,204.5,187.5,-8,-8
L'Église,-1,202.5,200,225,13,13
Lendelede,1,249.356,250.75,260,4,4
Lennik,-8,365,335,356.25,6,6
Lens,null,null,250,null,null,-50
Leopoldsburg,-3,199,193.5,222.5,15,15
Les Bons Villers,9,201,220,198,-10,-10
Lessines,12,135,151,128.75,-15,-15
Leuven,4,340.155,352.5,349.5,-1,-1
Leuze-en-Hainaut,2,157.5,160,156,-3,-3
Libin,9,183.5,200,null,null,0
Libramont-Chevigny,25,172.5,215,null,null,0
Lichtervelde,3,240,248,247.5,0,0
Liedekerke,5,240,252.5,259,3,3
Lier,5,238,250,256.25,2,2
Lierde,1,234,237.5,null,null,0
Lierneux,9,175,191,null,null,0
Lievegem,2,270,275,279.75,2,2
Lincent,19,167.5,200,null,null,0
Lille,-1,275,272.5,290,6,6
Limbourg,16,155,180,195,8,8
